cfg_id,seed,min_samples_leaf,max_depth,f1_val,pr_auc,recall,threshold,depth_that,n_leaf,fit_s,params
9,1,125,-1,0.5344418052256532,0.46388486767351206,0.41589648798521256,0.9981516481763185,37,311,24.3,"{""min_samples_leaf"": 125, ""max_depth"": null, ""class_weight"": ""balanced""}"
9,2,125,-1,0.5344418052256532,0.4639371809763693,0.41589648798521256,0.9981516481763169,37,307,24.0,"{""min_samples_leaf"": 125, ""max_depth"": null, ""class_weight"": ""balanced""}"
10,0,25,8,0.5344418052256532,0.3517447310073293,0.41589648798521256,0.9994917219052504,8,70,22.4,"{""min_samples_leaf"": 25, ""max_depth"": 8, ""class_weight"": ""balanced""}"
10,1,25,8,0.5344418052256532,0.3517447310073293,0.41589648798521256,0.9994917219052537,8,70,22.4,"{""min_samples_leaf"": 25, ""max_depth"": 8, ""class_weight"": ""balanced""}"
10,2,25,8,0.5344418052256532,0.3517536340072813,0.41589648798521256,0.9994917219052543,8,68,22.2,"{""min_samples_leaf"": 25, ""max_depth"": 8, ""class_weight"": ""balanced""}"
11,0,25,12,0.560814859197124,0.4522507166323705,0.43253234750462105,0.9983872536857445,12,157,23.3,"{""min_samples_leaf"": 25, ""max_depth"": 12, ""class_weight"": ""balanced""}"
11,1,25,12,0.560814859197124,0.45154120557527955,0.43253234750462105,0.9983872536857445,12,157,23.1,"{""min_samples_leaf"": 25, ""max_depth"": 12, ""class_weight"": ""balanced""}"
11,2,25,12,0.560814859197124,0.4515397796880183,0.43253234750462105,0.9983872536857447,12,158,23.2,"{""min_samples_leaf"": 25, ""max_depth"": 12, ""class_weight"": ""balanced""}"
12,0,25,16,0.5562422744128553,0.4690006181847769,0.41589648798521256,0.9984564350948316,16,241,23.9,"{""min_samples_leaf"": 25, ""max_depth"": 16, ""class_weight"": ""balanced""}"
12,1,25,16,0.5562422744128553,0.4682899367198651,0.41589648798521256,0.9984564350948315,16,238,24.3,"{""min_samples_leaf"": 25, ""max_depth"": 16, ""class_weight"": ""balanced""}"
12,2,25,16,0.5562422744128553,0.46881692577648515,0.41589648798521256,0.9984564350948315,16,241,24.5,"{""min_samples_leaf"": 25, ""max_depth"": 16, ""class_weight"": ""balanced""}"
13,0,25,24,0.5842565597667638,0.4880415591746703,0.4630314232902033,0.9974131725105484,24,400,25.2,"{""min_samples_leaf"": 25, ""max_depth"": 24, ""class_weight"": ""balanced""}"
13,1,25,24,0.5842565597667638,0.4880466807656316,0.4630314232902033,0.9974131725105485,24,403,24.6,"{""min_samples_leaf"": 25, ""max_depth"": 24, ""class_weight"": ""balanced""}"
13,2,25,24,0.5842565597667638,0.4887860710567471,0.4630314232902033,0.997413172510548,24,405,24.4,"{""min_samples_leaf"": 25, ""max_depth"": 24, ""class_weight"": ""balanced""}"
14,0,25,-1,0.580908032596042,0.4727749028532857,0.4611829944547135,0.9984564350948316,54,734,24.5,"{""min_samples_leaf"": 25, ""max_depth"": null, ""class_weight"": ""balanced""}"
