,,pr_auc,pr_auc,f1_minority,f1_minority,f1@0.5,f1@0.5,recall,recall
,,mean,std,mean,std,mean,std,mean,std
split,model,,,,,,,,
test,sage_lstm,0.5063,0.0233,0.5274,0.0189,0.479,0.0304,0.4922,0.0251
test,sage_noedge_lstm,0.4307,0.0227,0.4691,0.0196,0.3993,0.0264,0.4687,0.0128
val,sage_lstm,0.4078,0.0066,0.4466,0.0062,0.4053,0.0223,0.3671,0.022
val,sage_noedge_lstm,0.37,0.0094,0.4104,0.0119,0.3614,0.0136,0.3487,0.013
