round,r,f1_val,f1_val@0.5,pr_auc,n_tree,fit_s,num_leaves,learning_rate,reg_lambda,reg_alpha,scale_pos_weight,params
0,0.125,0.44577656675749316,0.2593095949986409,0.2665568048514274,61,0.4,8,0.00982,0.0503,2.191,4.265,"{""num_leaves"": 8, ""learning_rate"": 0.00982, ""reg_lambda"": 0.0503, ""reg_alpha"": 2.191, ""scale_pos_weight"": 4.265, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.3916083916083916,0.0,0.29713032680881446,72,0.6,1024,0.00988,59.5266,1.2813,5.61,"{""num_leaves"": 1024, ""learning_rate"": 0.00988, ""reg_lambda"": 59.5266, ""reg_alpha"": 1.2813, ""scale_pos_weight"": 5.61, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.04381513613793856,0.0,0.019986299581992384,9,0.4,256,0.00556,34.1724,2.4931,6.012,"{""num_leaves"": 256, ""learning_rate"": 0.00556, ""reg_lambda"": 34.1724, ""reg_alpha"": 2.4931, ""scale_pos_weight"": 6.012, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.25938009787928223,0.0,0.08950147209080367,15,0.3,2,0.00682,1.7021,1.0374,7.417,"{""num_leaves"": 2, ""learning_rate"": 0.00682, ""reg_lambda"": 1.7021, ""reg_alpha"": 1.0374, ""scale_pos_weight"": 7.417, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.452755905511811,0.0,0.3550484035461054,20,0.5,64,0.02945,2.7884,1.112,3.218,"{""num_leaves"": 64, ""learning_rate"": 0.02945, ""reg_lambda"": 2.7884, ""reg_alpha"": 1.112, ""scale_pos_weight"": 3.218, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.26543878656554715,0.26543878656554715,0.08830838360129747,12,0.5,2048,0.02299,0.3774,3.1339,9.314,"{""num_leaves"": 2048, ""learning_rate"": 0.02299, ""reg_lambda"": 0.3774, ""reg_alpha"": 3.1339, ""scale_pos_weight"": 9.314, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.46619446233097234,0.0,0.29335928747954726,31,0.3,2,0.02426,6.0934,1.1937,3.813,"{""num_leaves"": 2, ""learning_rate"": 0.02426, ""reg_lambda"": 6.0934, ""reg_alpha"": 1.1937, ""scale_pos_weight"": 3.813, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.4665391969407266,0.2800707547169811,0.3933653576128735,186,0.8,8,0.03749,40.2191,1.5047,3.15,"{""num_leaves"": 8, ""learning_rate"": 0.03749, ""reg_lambda"": 40.2191, ""reg_alpha"": 1.5047, ""scale_pos_weight"": 3.15, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.46143790849673205,0.0,0.32544775793059766,3,0.5,4096,0.02385,0.806,1.3662,1.654,"{""num_leaves"": 4096, ""learning_rate"": 0.02385, ""reg_lambda"": 0.806, ""reg_alpha"": 1.3662, ""scale_pos_weight"": 1.654, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.4665391969407266,0.0,0.34305435318650823,31,0.5,4096,0.00336,2.0887,1.2695,9.78,"{""num_leaves"": 4096, ""learning_rate"": 0.00336, ""reg_lambda"": 2.0887, ""reg_alpha"": 1.2695, ""scale_pos_weight"": 9.78, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.46619446233097234,0.25938009787928223,0.31305324856956473,3,1.9,16384,0.01507,0.379,1.3299,7.739,"{""num_leaves"": 16384, ""learning_rate"": 0.01507, ""reg_lambda"": 0.379, ""reg_alpha"": 1.3299, ""scale_pos_weight"": 7.739, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.5116836428999401,0.3285863146926016,0.41255794040063687,95,0.5,4,0.02921,7.9989,1.1235,4.175,"{""num_leaves"": 4, ""learning_rate"": 0.02921, ""reg_lambda"": 7.9989, ""reg_alpha"": 1.1235, ""scale_pos_weight"": 4.175, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.2967914438502674,0.1795533951086131,0.16529962252711963,55,0.5,1024,0.01381,0.0145,1.2737,9.505,"{""num_leaves"": 1024, ""learning_rate"": 0.01381, ""reg_lambda"": 0.0145, ""reg_alpha"": 1.2737, ""scale_pos_weight"": 9.505, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.46025641025641023,0.0,0.3597229168945043,150,0.7,256,0.00554,25.5982,2.5873,4.522,"{""num_leaves"": 256, ""learning_rate"": 0.00554, ""reg_lambda"": 25.5982, ""reg_alpha"": 2.5873, ""scale_pos_weight"": 4.522, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.4631322364411944,0.20501822860819216,0.29135098947304405,27,0.3,2,0.05445,5.2814,2.6309,7.818,"{""num_leaves"": 2, ""learning_rate"": 0.05445, ""reg_lambda"": 5.2814, ""reg_alpha"": 2.6309, ""scale_pos_weight"": 7.818, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.4607397793640493,0.41365257259296995,0.4010292114088648,194,1.3,128,0.03443,44.8638,2.5893,2.612,"{""num_leaves"": 128, ""learning_rate"": 0.03443, ""reg_lambda"": 44.8638, ""reg_alpha"": 2.5893, ""scale_pos_weight"": 2.612, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.44642857142857145,0.0,0.3464458540576001,21,0.4,256,0.00427,0.5052,1.6011,2.82,"{""num_leaves"": 256, ""learning_rate"": 0.00427, ""reg_lambda"": 0.5052, ""reg_alpha"": 1.6011, ""scale_pos_weight"": 2.82, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.25938009787928223,0.10169751901067671,0.10175402081989138,1,0.5,2048,0.0807,0.0239,1.029,3.906,"{""num_leaves"": 2048, ""learning_rate"": 0.0807, ""reg_lambda"": 0.0239, ""reg_alpha"": 1.029, ""scale_pos_weight"": 3.906, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.45849297573435505,0.0,0.35838619775757974,100,0.8,256,0.00789,21.027,1.244,6.277,"{""num_leaves"": 256, ""learning_rate"": 0.00789, ""reg_lambda"": 21.027, ""reg_alpha"": 1.244, ""scale_pos_weight"": 6.277, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.4505289359054138,0.25131164742917106,0.32856310423019,40,2.3,16384,0.08662,7.346,3.0935,6.171,"{""num_leaves"": 16384, ""learning_rate"": 0.08662, ""reg_lambda"": 7.346, ""reg_alpha"": 3.0935, ""scale_pos_weight"": 6.171, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.45569620253164556,0.3340398473929631,0.35053906153008807,22,0.4,1024,0.05696,12.9716,2.7884,6.683,"{""num_leaves"": 1024, ""learning_rate"": 0.05696, ""reg_lambda"": 12.9716, ""reg_alpha"": 2.7884, ""scale_pos_weight"": 6.683, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.4203480589022758,0.0018467220683287165,0.3512640530037492,30,1.9,16384,0.01083,1.2976,1.3213,7.998,"{""num_leaves"": 16384, ""learning_rate"": 0.01083, ""reg_lambda"": 1.2976, ""reg_alpha"": 1.3213, ""scale_pos_weight"": 7.998, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.42950108459869846,0.21348314606741572,0.2682925438500765,113,0.7,8,0.02322,1.3919,2.1839,7.844,"{""num_leaves"": 8, ""learning_rate"": 0.02322, ""reg_lambda"": 1.3919, ""reg_alpha"": 2.1839, ""scale_pos_weight"": 7.844, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.4930006086427267,0.45568243610657966,0.39750580540334063,267,0.9,8,0.00462,3.1606,1.6324,6.528,"{""num_leaves"": 8, ""learning_rate"": 0.00462, ""reg_lambda"": 3.1606, ""reg_alpha"": 1.6324, ""scale_pos_weight"": 6.528, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.4306864064602961,0.31940422010757136,0.36635439701186673,60,0.6,2048,0.02389,8.5417,1.84,5.166,"{""num_leaves"": 2048, ""learning_rate"": 0.02389, ""reg_lambda"": 8.5417, ""reg_alpha"": 1.84, ""scale_pos_weight"": 5.166, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.38801422041645506,0.005939123979213066,0.21450345048719466,52,0.5,1024,0.00851,0.0825,2.2423,7.261,"{""num_leaves"": 1024, ""learning_rate"": 0.00851, ""reg_lambda"": 0.0825, ""reg_alpha"": 2.2423, ""scale_pos_weight"": 7.261, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.07330112059216613,0.06561012195917303,0.03202509017201588,7,0.3,8,0.09073,4.8373,1.8634,8.571,"{""num_leaves"": 8, ""learning_rate"": 0.09073, ""reg_lambda"": 4.8373, ""reg_alpha"": 1.8634, ""scale_pos_weight"": 8.571, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.4752116082224909,0.34019417475728153,0.3938444122391206,95,0.5,8,0.01697,0.8013,1.3695,2.405,"{""num_leaves"": 8, ""learning_rate"": 0.01697, ""reg_lambda"": 0.8013, ""reg_alpha"": 1.3695, ""scale_pos_weight"": 2.405, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.44527363184079605,0.2549713974393898,0.2841029352178904,23,0.4,128,0.05837,5.1427,1.5514,6.181,"{""num_leaves"": 128, ""learning_rate"": 0.05837, ""reg_lambda"": 5.1427, ""reg_alpha"": 1.5514, ""scale_pos_weight"": 6.181, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.4625445897740785,0.0,0.36399395510378885,86,0.6,1024,0.02214,55.7525,1.5847,2.483,"{""num_leaves"": 1024, ""learning_rate"": 0.02214, ""reg_lambda"": 55.7525, ""reg_alpha"": 1.5847, ""scale_pos_weight"": 2.483, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.2738126824091271,0.05882818685669042,0.10979376762264026,1,0.3,512,0.06952,0.0156,1.2798,6.727,"{""num_leaves"": 512, ""learning_rate"": 0.06952, ""reg_lambda"": 0.0156, ""reg_alpha"": 1.2798, ""scale_pos_weight"": 6.727, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.4375,0.4321223709369025,0.3659130002812985,41,0.8,8192,0.04822,2.6716,1.2702,2.059,"{""num_leaves"": 8192, ""learning_rate"": 0.04822, ""reg_lambda"": 2.6716, ""reg_alpha"": 1.2702, ""scale_pos_weight"": 2.059, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.25938009787928223,0.1761045426260112,0.10493923368527672,1,1.5,16384,0.05288,0.0738,1.1138,5.959,"{""num_leaves"": 16384, ""learning_rate"": 0.05288, ""reg_lambda"": 0.0738, ""reg_alpha"": 1.1138, ""scale_pos_weight"": 5.959, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.2596026490066225,0.0,0.11142225523854031,17,0.3,256,0.00613,0.0186,2.4485,8.391,"{""num_leaves"": 256, ""learning_rate"": 0.00613, ""reg_lambda"": 0.0186, ""reg_alpha"": 2.4485, ""scale_pos_weight"": 8.391, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.46953175112251444,0.0,0.3545251339905833,48,0.5,4096,0.00873,0.1284,1.5377,6.192,"{""num_leaves"": 4096, ""learning_rate"": 0.00873, ""reg_lambda"": 0.1284, ""reg_alpha"": 1.5377, ""scale_pos_weight"": 6.192, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.3627659574468085,0.26225234619395205,0.1979643407012256,44,0.6,64,0.01958,0.2639,2.1006,7.082,"{""num_leaves"": 64, ""learning_rate"": 0.01958, ""reg_lambda"": 0.2639, ""reg_alpha"": 2.1006, ""scale_pos_weight"": 7.082, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.4557779212395094,0.4516971279373368,0.3819256642378045,106,0.8,512,0.01205,3.1305,1.9954,4.063,"{""num_leaves"": 512, ""learning_rate"": 0.01205, ""reg_lambda"": 3.1305, ""reg_alpha"": 1.9954, ""scale_pos_weight"": 4.063, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.4327645051194539,0.0,0.32119250383617437,10,0.4,256,0.00901,1.524,2.042,6.497,"{""num_leaves"": 256, ""learning_rate"": 0.00901, ""reg_lambda"": 1.524, ""reg_alpha"": 2.042, ""scale_pos_weight"": 6.497, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.47946045370938073,0.3843364757070341,0.40557705421634216,81,1.4,8192,0.02232,87.7159,1.6586,8.587,"{""num_leaves"": 8192, ""learning_rate"": 0.02232, ""reg_lambda"": 87.7159, ""reg_alpha"": 1.6586, ""scale_pos_weight"": 8.587, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.4635838150289017,0.0,0.36834937121359806,264,1.4,64,0.00419,31.6893,2.961,3.357,"{""num_leaves"": 64, ""learning_rate"": 0.00419, ""reg_lambda"": 31.6893, ""reg_alpha"": 2.961, ""scale_pos_weight"": 3.357, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.32328560663149963,0.21296296296296297,0.166048416375062,27,0.4,256,0.01677,0.0538,3.0627,9.079,"{""num_leaves"": 256, ""learning_rate"": 0.01677, ""reg_lambda"": 0.0538, ""reg_alpha"": 3.0627, ""scale_pos_weight"": 9.079, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.09465381244522349,0.04219178082191781,0.06179893674060014,3,0.2,2,0.0873,2.603,1.8299,8.494,"{""num_leaves"": 2, ""learning_rate"": 0.0873, ""reg_lambda"": 2.603, ""reg_alpha"": 1.8299, ""scale_pos_weight"": 8.494, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.47764849969381507,0.425414364640884,0.3814033929834498,213,0.7,8,0.00746,54.5939,1.6806,7.962,"{""num_leaves"": 8, ""learning_rate"": 0.00746, ""reg_lambda"": 54.5939, ""reg_alpha"": 1.6806, ""scale_pos_weight"": 7.962, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.33195449844881075,0.23794642857142856,0.22839156901125618,31,0.4,1024,0.01784,0.0541,1.4289,6.17,"{""num_leaves"": 1024, ""learning_rate"": 0.01784, ""reg_lambda"": 0.0541, ""reg_alpha"": 1.4289, ""scale_pos_weight"": 6.17, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.41289437585733885,0.0,0.3220582391021513,148,0.5,8,0.00332,0.544,2.4181,6.527,"{""num_leaves"": 8, ""learning_rate"": 0.00332, ""reg_lambda"": 0.544, ""reg_alpha"": 2.4181, ""scale_pos_weight"": 6.527, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.4620253164556962,0.43843031123139375,0.3703811755874899,95,0.4,8,0.00969,7.3954,1.7677,9.996,"{""num_leaves"": 8, ""learning_rate"": 0.00969, ""reg_lambda"": 7.3954, ""reg_alpha"": 1.7677, ""scale_pos_weight"": 9.996, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.25938009787928223,0.2248234106962664,0.10033686366147015,3,0.7,8192,0.05571,0.1092,1.2151,2.794,"{""num_leaves"": 8192, ""learning_rate"": 0.05571, ""reg_lambda"": 0.1092, ""reg_alpha"": 1.2151, ""scale_pos_weight"": 2.794, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.27251516565562295,0.2704691812327507,0.15465764984118183,57,0.7,2048,0.01407,1.1184,1.2746,8.02,"{""num_leaves"": 2048, ""learning_rate"": 0.01407, ""reg_lambda"": 1.1184, ""reg_alpha"": 1.2746, ""scale_pos_weight"": 8.02, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.25938009787928223,0.0,0.08965697592735435,27,0.4,2,0.00942,1.0771,2.001,7.501,"{""num_leaves"": 2, ""learning_rate"": 0.00942, ""reg_lambda"": 1.0771, ""reg_alpha"": 2.001, ""scale_pos_weight"": 7.501, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.29682242990654206,0.0,0.11701205273389291,15,0.8,8192,0.00526,0.1329,2.3337,6.114,"{""num_leaves"": 8192, ""learning_rate"": 0.00526, ""reg_lambda"": 0.1329, ""reg_alpha"": 2.3337, ""scale_pos_weight"": 6.114, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.3733463988241058,0.0,0.18219961758889858,10,2.3,16384,0.01485,0.4231,1.4461,3.082,"{""num_leaves"": 16384, ""learning_rate"": 0.01485, ""reg_lambda"": 0.4231, ""reg_alpha"": 1.4461, ""scale_pos_weight"": 3.082, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.31600660066006603,0.24486024486024485,0.18587414910763636,13,0.9,8192,0.02993,0.1145,2.7072,3.436,"{""num_leaves"": 8192, ""learning_rate"": 0.02993, ""reg_lambda"": 0.1145, ""reg_alpha"": 2.7072, ""scale_pos_weight"": 3.436, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.4465366509751177,0.0,0.3321542352376762,13,0.4,256,0.0225,3.2646,2.8103,2.53,"{""num_leaves"": 256, ""learning_rate"": 0.0225, ""reg_lambda"": 3.2646, ""reg_alpha"": 2.8103, ""scale_pos_weight"": 2.53, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.27823240589198034,0.0,0.11585615333225577,29,0.5,1024,0.00531,0.0307,1.1155,5.808,"{""num_leaves"": 1024, ""learning_rate"": 0.00531, ""reg_lambda"": 0.0307, ""reg_alpha"": 1.1155, ""scale_pos_weight"": 5.808, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.2738126824091271,0.05957311245619624,0.11160998852877507,1,0.4,256,0.05138,0.0123,1.5616,5.259,"{""num_leaves"": 256, ""learning_rate"": 0.05138, ""reg_lambda"": 0.0123, ""reg_alpha"": 1.5616, ""scale_pos_weight"": 5.259, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.33819241982507287,0.0,0.25611019256125717,5,0.3,8,0.00668,0.2652,1.3157,3.536,"{""num_leaves"": 8, ""learning_rate"": 0.00668, ""reg_lambda"": 0.2652, ""reg_alpha"": 1.3157, ""scale_pos_weight"": 3.536, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.351555136663525,0.0,0.1776757142553675,6,0.4,128,0.01336,0.3495,2.0393,6.977,"{""num_leaves"": 128, ""learning_rate"": 0.01336, ""reg_lambda"": 0.3495, ""reg_alpha"": 2.0393, ""scale_pos_weight"": 6.977, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.25938009787928223,0.1089506932480105,0.10995699796597694,1,0.8,8192,0.03093,0.0218,1.973,7.623,"{""num_leaves"": 8192, ""learning_rate"": 0.03093, ""reg_lambda"": 0.0218, ""reg_alpha"": 1.973, ""scale_pos_weight"": 7.623, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.26096372495939363,0.2264,0.17382900658090095,8,0.4,32,0.02414,0.0333,1.1247,3.907,"{""num_leaves"": 32, ""learning_rate"": 0.02414, ""reg_lambda"": 0.0333, ""reg_alpha"": 1.1247, ""scale_pos_weight"": 3.907, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.265625,0.11402181702364839,0.08722197941172151,4,0.6,4096,0.07786,0.7771,2.8105,5.137,"{""num_leaves"": 4096, ""learning_rate"": 0.07786, ""reg_lambda"": 0.7771, ""reg_alpha"": 2.8105, ""scale_pos_weight"": 5.137, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.4746987951807229,0.4044943820224719,0.38008293015020145,46,0.5,32,0.01689,6.8361,1.4636,9.009,"{""num_leaves"": 32, ""learning_rate"": 0.01689, ""reg_lambda"": 6.8361, ""reg_alpha"": 1.4636, ""scale_pos_weight"": 9.009, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.3787450537026569,0.3291249455811929,0.2198278322137305,60,0.6,2048,0.00792,0.0106,2.3087,7.089,"{""num_leaves"": 2048, ""learning_rate"": 0.00792, ""reg_lambda"": 0.0106, ""reg_alpha"": 2.3087, ""scale_pos_weight"": 7.089, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.4353826850690088,0.2708095781071836,0.35266419885248523,65,0.5,4,0.03397,2.2134,1.1654,7.023,"{""num_leaves"": 4, ""learning_rate"": 0.03397, ""reg_lambda"": 2.2134, ""reg_alpha"": 1.1654, ""scale_pos_weight"": 7.023, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.3743427970557308,0.0,0.25142759274175364,12,0.4,1024,0.00324,0.0539,1.6452,4.405,"{""num_leaves"": 1024, ""learning_rate"": 0.00324, ""reg_lambda"": 0.0539, ""reg_alpha"": 1.6452, ""scale_pos_weight"": 4.405, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.45843520782396086,0.0,0.33224425216011577,7,2.1,16384,0.01382,3.1223,1.5666,7.376,"{""num_leaves"": 16384, ""learning_rate"": 0.01382, ""reg_lambda"": 3.1223, ""reg_alpha"": 1.5666, ""scale_pos_weight"": 7.376, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.4839586731919521,0.014598540145985401,0.3110825237702662,68,0.5,4,0.00702,0.0376,2.3821,7.019,"{""num_leaves"": 4, ""learning_rate"": 0.00702, ""reg_lambda"": 0.0376, ""reg_alpha"": 2.3821, ""scale_pos_weight"": 7.019, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.46065259117082535,0.0,0.3409509901938132,86,0.6,256,0.00507,4.5158,2.3849,2.475,"{""num_leaves"": 256, ""learning_rate"": 0.00507, ""reg_lambda"": 4.5158, ""reg_alpha"": 2.3849, ""scale_pos_weight"": 2.475, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.33094609875612513,0.20844099913867356,0.127424648406059,45,0.7,128,0.03419,0.2646,2.8735,7.764,"{""num_leaves"": 128, ""learning_rate"": 0.03419, ""reg_lambda"": 0.2646, ""reg_alpha"": 2.8735, ""scale_pos_weight"": 7.764, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.2987390882638215,0.2757427170464378,0.24495888864563775,75,0.5,2,0.08073,0.0126,1.2606,3.177,"{""num_leaves"": 2, ""learning_rate"": 0.08073, ""reg_lambda"": 0.0126, ""reg_alpha"": 1.2606, ""scale_pos_weight"": 3.177, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.4887810794420861,0.27150837988826815,0.4065057552355974,57,0.6,16,0.03964,1.2725,1.728,3.003,"{""num_leaves"": 16, ""learning_rate"": 0.03964, ""reg_lambda"": 1.2725, ""reg_alpha"": 1.728, ""scale_pos_weight"": 3.003, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.34860557768924305,0.0,0.18968912403409915,71,0.7,128,0.00474,0.0976,2.5417,5.059,"{""num_leaves"": 128, ""learning_rate"": 0.00474, ""reg_lambda"": 0.0976, ""reg_alpha"": 2.5417, ""scale_pos_weight"": 5.059, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.4397068620919387,0.34552666372851476,0.3584094050835473,44,0.7,2048,0.06535,2.5507,2.4939,2.687,"{""num_leaves"": 2048, ""learning_rate"": 0.06535, ""reg_lambda"": 2.5507, ""reg_alpha"": 2.4939, ""scale_pos_weight"": 2.687, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.436046511627907,0.009140767824497258,0.35314060211054976,49,2.3,16384,0.01162,0.948,1.7438,8.402,"{""num_leaves"": 16384, ""learning_rate"": 0.01162, ""reg_lambda"": 0.948, ""reg_alpha"": 1.7438, ""scale_pos_weight"": 8.402, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.04333492848407508,0.0,0.01902829127111345,21,0.4,32,0.00575,25.465,2.7902,1.68,"{""num_leaves"": 32, ""learning_rate"": 0.00575, ""reg_lambda"": 25.465, ""reg_alpha"": 2.7902, ""scale_pos_weight"": 1.68, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.4126315789473684,0.0,0.3741949942727663,55,0.5,64,0.00869,0.4008,3.0586,1.643,"{""num_leaves"": 64, ""learning_rate"": 0.00869, ""reg_lambda"": 0.4008, ""reg_alpha"": 3.0586, ""scale_pos_weight"": 1.643, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.49049662783568365,0.3738237810094098,0.3555662526284525,105,0.5,2,0.04698,0.7974,1.1848,4.295,"{""num_leaves"": 2, ""learning_rate"": 0.04698, ""reg_lambda"": 0.7974, ""reg_alpha"": 1.1848, ""scale_pos_weight"": 4.295, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
