round,r,f1_val,f1_val@0.5,pr_auc,n_tree,fit_s,num_leaves,learning_rate,reg_lambda,reg_alpha,scale_pos_weight,params
0,0.125,0.45561762880198636,0.26364692218350755,0.38044333297977057,48,0.8,128,0.09832,62.4848,1.7196,7.82,"{""num_leaves"": 128, ""learning_rate"": 0.09832, ""reg_lambda"": 62.4848, ""reg_alpha"": 1.7196, ""scale_pos_weight"": 7.82, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.4627349319507453,0.2704967085577499,0.3843134114608561,105,0.9,64,0.01968,13.9041,1.6337,7.61,"{""num_leaves"": 64, ""learning_rate"": 0.01968, ""reg_lambda"": 13.9041, ""reg_alpha"": 1.6337, ""scale_pos_weight"": 7.61, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.4394037589112119,0.26907630522088355,0.38014122340802514,105,1.0,128,0.03687,53.4858,1.165,7.561,"{""num_leaves"": 128, ""learning_rate"": 0.03687, ""reg_lambda"": 53.4858, ""reg_alpha"": 1.165, ""scale_pos_weight"": 7.561, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.2362735381565907,0.05930584301862761,0.09561646585278664,1,2.0,16384,0.08951,0.0115,2.7113,9.831,"{""num_leaves"": 16384, ""learning_rate"": 0.08951, ""reg_lambda"": 0.0115, ""reg_alpha"": 2.7113, ""scale_pos_weight"": 9.831, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.25938009787928223,0.12486678507992895,0.11094971486222728,1,0.6,8192,0.08626,0.0394,3.0661,9.009,"{""num_leaves"": 8192, ""learning_rate"": 0.08626, ""reg_lambda"": 0.0394, ""reg_alpha"": 3.0661, ""scale_pos_weight"": 9.009, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.2603513174404015,0.21622670807453417,0.14414636297428196,6,0.3,64,0.0166,0.085,2.5288,9.312,"{""num_leaves"": 64, ""learning_rate"": 0.0166, ""reg_lambda"": 0.085, ""reg_alpha"": 2.5288, ""scale_pos_weight"": 9.312, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.44881889763779526,0.0,0.37868596735407134,37,0.5,4096,0.00793,1.4313,1.6864,9.379,"{""num_leaves"": 4096, ""learning_rate"": 0.00793, ""reg_lambda"": 1.4313, ""reg_alpha"": 1.6864, ""scale_pos_weight"": 9.379, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.48757396449704143,0.2677801724137931,0.3475729299646963,69,0.7,1024,0.03963,2.8674,1.0566,7.473,"{""num_leaves"": 1024, ""learning_rate"": 0.03963, ""reg_lambda"": 2.8674, ""reg_alpha"": 1.0566, ""scale_pos_weight"": 7.473, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.25938009787928223,0.0,0.0896052193141589,42,0.3,2,0.00334,10.7598,1.825,9.362,"{""num_leaves"": 2, ""learning_rate"": 0.00334, ""reg_lambda"": 10.7598, ""reg_alpha"": 1.825, ""scale_pos_weight"": 9.362, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.25322713540236197,0.062314264487369986,0.12694548590836882,4,0.2,16,0.05781,0.0185,1.5091,4.873,"{""num_leaves"": 16, ""learning_rate"": 0.05781, ""reg_lambda"": 0.0185, ""reg_alpha"": 1.5091, ""scale_pos_weight"": 4.873, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
