model,split,time,f1_minority,precision,recall,pr_auc,recall@fpr1%,precision@1000,threshold,n,n_pos,seed,train_time_s,stage,params
sage,val,2026-08-08T04:38:27,0.38233818364274963,0.41822173435784854,0.3521256931608133,0.32965183855332153,0.6543438077634011,0.39399999380111694,0.3430273234844208,1015602,1082,0,73.5,final,"{""hid"": 32, ""neg_ratio"": 50, ""epochs_run"": 47}"
sage,test,2026-08-08T04:38:28,0.29506008010680906,0.21077730090605626,0.4916573971078977,0.2971722976873495,0.617908787541713,0.5370000004768372,0.3430273234844208,1015882,1798,0,73.5,final,"{""hid"": 32, ""neg_ratio"": 50, ""epochs_run"": 47}"
sage,val,2026-08-08T04:39:43,0.4153066966797974,0.5309352517985612,0.3410351201478743,0.348392506541244,0.6164510166358595,0.4169999957084656,0.3951146602630615,1015602,1082,1,73.1,final,"{""hid"": 32, ""neg_ratio"": 50, ""epochs_run"": 48}"
sage,test,2026-08-08T04:39:43,0.4137761377613776,0.3709748566387296,0.46774193548387094,0.3645578225325573,0.6718576195773082,0.5830000042915344,0.3951146602630615,1015882,1798,1,73.1,final,"{""hid"": 32, ""neg_ratio"": 50, ""epochs_run"": 48}"
sage,val,2026-08-08T04:41:02,0.38861985472154964,0.5631578947368421,0.2966728280961183,0.337320191568361,0.655268022181146,0.3930000066757202,0.46635493636131287,1015602,1082,2,76.5,final,"{""hid"": 32, ""neg_ratio"": 50, ""epochs_run"": 50}"
sage,test,2026-08-08T04:41:02,0.4288456265423636,0.4229313142239048,0.43492769744160176,0.3643054512894872,0.6813125695216907,0.5920000076293945,0.46635493636131287,1015882,1798,2,76.5,final,"{""hid"": 32, ""neg_ratio"": 50, ""epochs_run"": 50}"
sage_noedge,val,2026-08-08T04:43:06,0.38639876352395675,0.43655413271245636,0.3465804066543438,0.3331097059772945,0.711645101663586,0.3919999897480011,0.6196084022521973,1015602,1082,0,102.8,final,"{""hid"": 32, ""neg_ratio"": 50, ""epochs_run"": 66}"
sage_noedge,test,2026-08-08T04:43:06,0.4696929939648386,0.4446100347739692,0.4977753058954394,0.45059200925915205,0.771412680756396,0.6439999938011169,0.6196084022521973,1015882,1798,0,102.8,final,"{""hid"": 32, ""neg_ratio"": 50, ""epochs_run"": 66}"
sage_noedge,val,2026-08-08T04:44:52,0.395021645021645,0.4765013054830287,0.33733826247689463,0.3499622604695168,0.6820702402957486,0.40799999237060547,0.5845816135406494,1015602,1082,1,103.7,final,"{""hid"": 32, ""neg_ratio"": 50, ""epochs_run"": 66}"
sage_noedge,test,2026-08-08T04:44:53,0.46541554959785525,0.4492753623188406,0.4827586206896552,0.4384948606187719,0.7586206896551724,0.6470000147819519,0.5845816135406494,1015882,1798,1,103.7,final,"{""hid"": 32, ""neg_ratio"": 50, ""epochs_run"": 66}"
sage_noedge,val,2026-08-08T04:46:31,0.39139344262295084,0.43908045977011495,0.35304990757855825,0.344509957494225,0.7005545286506469,0.4009999930858612,0.5604668259620667,1015602,1082,2,96.4,final,"{""hid"": 32, ""neg_ratio"": 50, ""epochs_run"": 62}"
sage_noedge,test,2026-08-08T04:46:31,0.45496932515337424,0.40711462450592883,0.5155728587319244,0.4511609733364154,0.7575083426028921,0.6520000100135803,0.5604668259620667,1015882,1798,2,96.4,final,"{""hid"": 32, ""neg_ratio"": 50, ""epochs_run"": 62}"
