round,r,f1_val,f1_val@0.5,pr_auc,n_tree,fit_s,max_depth,learning_rate,reg_lambda,scale_pos_weight,colsample_bytree,subsample,params
0,0.125,0.5024937655860349,0.0,0.3188507228285687,3,0.5,15,0.04772,0.4556,7.61,0.856,0.966,"{""max_depth"": 15, ""learning_rate"": 0.04772, ""reg_lambda"": 0.4556, ""scale_pos_weight"": 7.61, ""colsample_bytree"": 0.856, ""subsample"": 0.966, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
0,0.125,0.41491525423728814,0.0,0.281414434044677,4,0.3,3,0.03922,51.2502,9.711,0.507,0.932,"{""max_depth"": 3, ""learning_rate"": 0.03922, ""reg_lambda"": 51.2502, ""scale_pos_weight"": 9.711, ""colsample_bytree"": 0.507, ""subsample"": 0.932, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
0,0.125,0.47831632653061223,0.0,0.3195952791425024,15,0.3,2,0.09371,67.4281,2.339,0.986,0.945,"{""max_depth"": 2, ""learning_rate"": 0.09371, ""reg_lambda"": 67.4281, ""scale_pos_weight"": 2.339, ""colsample_bytree"": 0.986, ""subsample"": 0.945, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
0,0.125,0.5190502484815019,0.0,0.399255231543989,10,0.4,6,0.0166,0.085,8.217,0.962,0.633,"{""max_depth"": 6, ""learning_rate"": 0.0166, ""reg_lambda"": 0.085, ""scale_pos_weight"": 8.217, ""colsample_bytree"": 0.962, ""subsample"": 0.633, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
0,0.125,0.38270142180094785,0.28810975609756095,0.3371106333338126,53,0.8,13,0.02034,0.5902,9.379,0.52,0.866,"{""max_depth"": 13, ""learning_rate"": 0.02034, ""reg_lambda"": 0.5902, ""scale_pos_weight"": 9.379, ""colsample_bytree"": 0.52, ""subsample"": 0.866, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
0,0.125,0.49058693244739754,0.0,0.29246648948274434,37,0.4,3,0.00349,7.5315,1.144,0.879,0.756,"{""max_depth"": 3, ""learning_rate"": 0.00349, ""reg_lambda"": 7.5315, ""scale_pos_weight"": 1.144, ""colsample_bytree"": 0.879, ""subsample"": 0.756, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
0,0.125,0.4523670368205728,0.4220442769665568,0.38960479425001904,82,1.0,10,0.07828,0.0184,8.572,0.533,0.672,"{""max_depth"": 10, ""learning_rate"": 0.07828, ""reg_lambda"": 0.0184, ""scale_pos_weight"": 8.572, ""colsample_bytree"": 0.533, ""subsample"": 0.672, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
0,0.125,0.3950198075834748,0.027347310847766638,0.26373849150857126,7,0.3,4,0.08894,1.7739,3.33,0.621,0.944,"{""max_depth"": 4, ""learning_rate"": 0.08894, ""reg_lambda"": 1.7739, ""scale_pos_weight"": 3.33, ""colsample_bytree"": 0.621, ""subsample"": 0.944, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
0,0.125,0.5062240663900415,0.0,0.41440171049657654,79,0.9,7,0.0069,0.0315,3.595,0.793,0.777,"{""max_depth"": 7, ""learning_rate"": 0.0069, ""reg_lambda"": 0.0315, ""scale_pos_weight"": 3.595, ""colsample_bytree"": 0.793, ""subsample"": 0.777, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
0,0.125,0.4876237623762376,0.0,0.35498617956789486,3,0.4,12,0.02191,0.1425,4.716,0.909,0.813,"{""max_depth"": 12, ""learning_rate"": 0.02191, ""reg_lambda"": 0.1425, ""scale_pos_weight"": 4.716, ""colsample_bytree"": 0.909, ""subsample"": 0.813, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
0,0.125,0.49523809523809526,0.4506760140210315,0.4256973911937567,105,1.6,13,0.08682,0.3003,5.974,0.797,0.924,"{""max_depth"": 13, ""learning_rate"": 0.08682, ""reg_lambda"": 0.3003, ""scale_pos_weight"": 5.974, ""colsample_bytree"": 0.797, ""subsample"": 0.924, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
0,0.125,0.35628310062590274,0.0,0.20005232686623767,24,0.5,15,0.01288,43.6351,1.388,0.911,0.708,"{""max_depth"": 15, ""learning_rate"": 0.01288, ""reg_lambda"": 43.6351, ""scale_pos_weight"": 1.388, ""colsample_bytree"": 0.911, ""subsample"": 0.708, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
