model,split,time,f1_minority,f1@0.5,precision,recall,pr_auc,recall@fpr1%,precision@1000,threshold,n,n_pos,seed,train_time_s,stage,params
xgb,val,2026-08-12T04:42:05,0.633810888,0.597730139,0.834087481,0.511090573,0.601012228,0.804066543,0.595,0.176871657,1015602,1082,3,53.2,final,"{""max_depth"": 13, ""learning_rate"": 0.0435, ""reg_lambda"": 0.02, ""scale_pos_weight"": 4.415, ""colsample_bytree"": 0.663, ""subsample"": 0.785, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
xgb,test,2026-08-12T04:42:07,0.69827034,0.674937965,0.82326284,0.606229143,0.664465652,0.827586207,0.934,0.176871657,1015882,1798,3,53.2,final,"{""max_depth"": 13, ""learning_rate"": 0.0435, ""reg_lambda"": 0.02, ""scale_pos_weight"": 4.415, ""colsample_bytree"": 0.663, ""subsample"": 0.785, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
lgb,val,2026-08-12T04:43:11,0.622501428,0.588235294,0.814648729,0.503696858,0.583314823,0.797597043,0.588,0.227393816,1015602,1082,0,54.3,final,"{""num_leaves"": 128, ""learning_rate"": 0.03443, ""reg_lambda"": 44.8638, ""reg_alpha"": 2.5893, ""scale_pos_weight"": 2.612, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
lgb,test,2026-08-12T04:43:12,0.705283259,0.66550035,0.824404762,0.616240267,0.683133977,0.850389321,0.908,0.227393816,1015882,1798,0,54.3,final,"{""num_leaves"": 128, ""learning_rate"": 0.03443, ""reg_lambda"": 44.8638, ""reg_alpha"": 2.5893, ""scale_pos_weight"": 2.612, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
lgb,val,2026-08-12T04:44:03,0.61778291,0.577749684,0.823076923,0.494454713,0.576855051,0.812384473,0.587,0.247301115,1015602,1082,1,43.6,final,"{""num_leaves"": 128, ""learning_rate"": 0.03443, ""reg_lambda"": 44.8638, ""reg_alpha"": 2.5893, ""scale_pos_weight"": 2.612, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
lgb,test,2026-08-12T04:44:04,0.694444444,0.662442802,0.828197227,0.597886541,0.678247434,0.860956618,0.911,0.247301115,1015882,1798,1,43.6,final,"{""num_leaves"": 128, ""learning_rate"": 0.03443, ""reg_lambda"": 44.8638, ""reg_alpha"": 2.5893, ""scale_pos_weight"": 2.612, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
lgb,val,2026-08-12T04:45:03,0.614472123,0.586466165,0.857615894,0.478743068,0.582120847,0.811460259,0.596,0.306779896,1015602,1082,2,49.9,final,"{""num_leaves"": 128, ""learning_rate"": 0.03443, ""reg_lambda"": 44.8638, ""reg_alpha"": 2.5893, ""scale_pos_weight"": 2.612, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
lgb,test,2026-08-12T04:45:04,0.695595003,0.665731322,0.850482315,0.588431591,0.679829635,0.864849833,0.907,0.306779896,1015882,1798,2,49.9,final,"{""num_leaves"": 128, ""learning_rate"": 0.03443, ""reg_lambda"": 44.8638, ""reg_alpha"": 2.5893, ""scale_pos_weight"": 2.612, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
lgb,val,2026-08-12T04:45:52,0.616086708,0.584751103,0.804769001,0.499075786,0.580326675,0.814232902,0.587,0.240430804,1015602,1082,3,41.3,final,"{""num_leaves"": 128, ""learning_rate"": 0.03443, ""reg_lambda"": 44.8638, ""reg_alpha"": 2.5893, ""scale_pos_weight"": 2.612, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
lgb,test,2026-08-12T04:45:53,0.696174518,0.65871624,0.806593407,0.612347052,0.678004042,0.86596218,0.907,0.240430804,1015882,1798,3,41.3,final,"{""num_leaves"": 128, ""learning_rate"": 0.03443, ""reg_lambda"": 44.8638, ""reg_alpha"": 2.5893, ""scale_pos_weight"": 2.612, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
lr,val,2026-08-12T04:49:29,0.487603306,0.30490566,0.552693208,0.436229205,0.444026944,0.787430684,0.492,0.108717941,1015602,1082,0,212.1,final,"{""class_weight"": null, ""C"": 10, ""max_iter"": 10000, ""tol"": 1e-08}"
lr,test,2026-08-12T04:49:30,0.504930966,0.510812826,0.416636528,0.640711902,0.558218631,0.817575083,0.743,0.108717941,1015882,1798,0,212.1,final,"{""class_weight"": null, ""C"": 10, ""max_iter"": 10000, ""tol"": 1e-08}"
lr,val,2026-08-12T04:53:16,0.487603306,0.30490566,0.552693208,0.436229205,0.444026944,0.787430684,0.492,0.108717941,1015602,1082,1,224.7,final,"{""class_weight"": null, ""C"": 10, ""max_iter"": 10000, ""tol"": 1e-08}"
lr,test,2026-08-12T04:53:17,0.504930966,0.510812826,0.416636528,0.640711902,0.558218631,0.817575083,0.743,0.108717941,1015882,1798,1,224.7,final,"{""class_weight"": null, ""C"": 10, ""max_iter"": 10000, ""tol"": 1e-08}"
lr,val,2026-08-12T04:57:22,0.487603306,0.30490566,0.552693208,0.436229205,0.444026944,0.787430684,0.492,0.108717941,1015602,1082,2,243.8,final,"{""class_weight"": null, ""C"": 10, ""max_iter"": 10000, ""tol"": 1e-08}"
lr,test,2026-08-12T04:57:23,0.504930966,0.510812826,0.416636528,0.640711902,0.558218631,0.817575083,0.743,0.108717941,1015882,1798,2,243.8,final,"{""class_weight"": null, ""C"": 10, ""max_iter"": 10000, ""tol"": 1e-08}"
lr,val,2026-08-12T05:00:50,0.487603306,0.30490566,0.552693208,0.436229205,0.444026944,0.787430684,0.492,0.108717941,1015602,1082,3,203.8,final,"{""class_weight"": null, ""C"": 10, ""max_iter"": 10000, ""tol"": 1e-08}"
lr,test,2026-08-12T05:00:50,0.504930966,0.510812826,0.416636528,0.640711902,0.558218631,0.817575083,0.743,0.108717941,1015882,1798,3,203.8,final,"{""class_weight"": null, ""C"": 10, ""max_iter"": 10000, ""tol"": 1e-08}"
dt,val,2026-08-12T05:03:41,0.527217125,0.10646814,0.779385172,0.398336414,0.403570247,0.614248595,0.433,0.996991242,1015602,1082,0,168.7,final,"{""min_samples_leaf"": 25, ""max_depth"": 24, ""class_weight"": ""balanced""}"
dt,test,2026-08-12T05:03:42,0.601907453,0.123260827,0.824782188,0.473859844,0.482489905,0.686838136,0.827,0.996991242,1015882,1798,0,168.7,final,"{""min_samples_leaf"": 25, ""max_depth"": 24, ""class_weight"": ""balanced""}"
dt,val,2026-08-12T05:06:15,0.52541335,0.106913183,0.778584392,0.396487985,0.40235106,0.614284702,0.43,0.996991242,1015602,1082,1,152.4,final,"{""min_samples_leaf"": 25, ""max_depth"": 24, ""class_weight"": ""balanced""}"
dt,test,2026-08-12T05:06:16,0.600919053,0.123624214,0.824442289,0.472747497,0.482815264,0.687605861,0.829,0.996991242,1015882,1798,1,152.4,final,"{""min_samples_leaf"": 25, ""max_depth"": 24, ""class_weight"": ""balanced""}"
dt,val,2026-08-12T05:08:51,0.526380368,0.106870229,0.782846715,0.396487985,0.402534587,0.614281231,0.43,0.996991242,1015602,1082,2,154.4,final,"{""min_samples_leaf"": 25, ""max_depth"": 24, ""class_weight"": ""balanced""}"
dt,test,2026-08-12T05:08:52,0.601344181,0.123504022,0.826044704,0.472747497,0.482371955,0.687714195,0.828,0.996991242,1015882,1798,2,154.4,final,"{""min_samples_leaf"": 25, ""max_depth"": 24, ""class_weight"": ""balanced""}"
dt,val,2026-08-12T05:11:56,0.522643819,0.105939005,0.773550725,0.394639556,0.399795416,0.609646271,0.428,0.996054715,1015602,1082,3,182.2,final,"{""min_samples_leaf"": 25, ""max_depth"": 24, ""class_weight"": ""balanced""}"
dt,test,2026-08-12T05:11:56,0.59922179,0.122831095,0.823129252,0.471078977,0.480633697,0.684121246,0.827,0.996054715,1015882,1798,3,182.2,final,"{""min_samples_leaf"": 25, ""max_depth"": 24, ""class_weight"": ""balanced""}"
