model,split,time,f1_minority,f1@0.5,precision,recall,pr_auc,recall@fpr1%,precision@1000,threshold,n,n_pos,seed,train_time_s,stage,params
baseline_xgb,val,2026-08-18T07:05:41,0.6326291079812206,0.6076107298814722,0.8665594855305466,0.49815157116451014,0.6051810578420918,0.8151571164510166,0.598,0.26028937101364136,1015602,1082,1,36.2,final,"{""max_depth"": 13, ""learning_rate"": 0.0435, ""reg_lambda"": 0.02, ""scale_pos_weight"": 4.415, ""colsample_bytree"": 0.663, ""subsample"": 0.785, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1, ""device"": ""local-i5-13420H"", ""encoder"": null, ""emb_seed"": null, ""n_feature"": 90, ""train_rows"": 2535504}"
baseline_xgb,test,2026-08-18T07:05:41,0.7072599531615925,0.672791519434629,0.887489504617968,0.5878754171301446,0.6889557372373913,0.8375973303670745,0.931,0.26028937101364136,1015882,1798,1,36.2,final,"{""max_depth"": 13, ""learning_rate"": 0.0435, ""reg_lambda"": 0.02, ""scale_pos_weight"": 4.415, ""colsample_bytree"": 0.663, ""subsample"": 0.785, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1, ""device"": ""local-i5-13420H"", ""encoder"": null, ""emb_seed"": null, ""n_feature"": 90, ""train_rows"": 2535504}"
edge_scalar_lgb,val,2026-08-18T07:06:20,0.629500580720093,0.5925925925925926,0.846875,0.5009242144177449,0.6015800575890566,0.8170055452865065,0.601,0.258101995216799,1015602,1082,1,31.2,final,"{""num_leaves"": 128, ""learning_rate"": 0.03443, ""reg_lambda"": 44.8638, ""reg_alpha"": 2.5893, ""scale_pos_weight"": 2.612, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1, ""device"": ""local-i5-13420H"", ""encoder"": ""ssl_lstm"", ""emb_seed"": 1, ""n_feature"": 93, ""train_rows"": 2535504}"
edge_scalar_lgb,test,2026-08-18T07:06:20,0.6993143976493633,0.6621669626998223,0.8466403162055336,0.5956618464961068,0.6920349756004218,0.8553948832035595,0.918,0.258101995216799,1015882,1798,1,31.2,final,"{""num_leaves"": 128, ""learning_rate"": 0.03443, ""reg_lambda"": 44.8638, ""reg_alpha"": 2.5893, ""scale_pos_weight"": 2.612, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1, ""device"": ""local-i5-13420H"", ""encoder"": ""ssl_lstm"", ""emb_seed"": 1, ""n_feature"": 93, ""train_rows"": 2535504}"
edge_scalar_xgb,val,2026-08-18T07:06:33,0.61795166858458,0.5375914836992681,0.8185975609756098,0.49630314232902034,0.5866181410514193,0.7744916820702403,0.583,0.2653844356536865,1015602,1082,1,11.5,final,"{""max_depth"": 13, ""learning_rate"": 0.0435, ""reg_lambda"": 0.02, ""scale_pos_weight"": 4.415, ""colsample_bytree"": 0.663, ""subsample"": 0.785, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1, ""device"": ""local-i5-13420H"", ""encoder"": ""ssl_lstm"", ""emb_seed"": 1, ""n_feature"": 93, ""train_rows"": 2535504}"
edge_scalar_xgb,test,2026-08-18T07:06:33,0.6869421487603306,0.5921702774610414,0.8467807660961695,0.5778642936596218,0.6646888240862866,0.8097886540600667,0.921,0.2653844356536865,1015882,1798,1,11.5,final,"{""max_depth"": 13, ""learning_rate"": 0.0435, ""reg_lambda"": 0.02, ""scale_pos_weight"": 4.415, ""colsample_bytree"": 0.663, ""subsample"": 0.785, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1, ""device"": ""local-i5-13420H"", ""encoder"": ""ssl_lstm"", ""emb_seed"": 1, ""n_feature"": 93, ""train_rows"": 2535504}"
baseline_lgb,val,2026-08-18T07:07:32,0.6267970097757332,0.593103448275862,0.8295281582952816,0.5036968576709797,0.5893875357851321,0.8068391866913124,0.588,0.22900155724663565,1015602,1082,2,48.4,final,"{""num_leaves"": 128, ""learning_rate"": 0.03443, ""reg_lambda"": 44.8638, ""reg_alpha"": 2.5893, ""scale_pos_weight"": 2.612, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1, ""device"": ""local-i5-13420H"", ""encoder"": null, ""emb_seed"": null, ""n_feature"": 90, ""train_rows"": 2535504}"
baseline_lgb,test,2026-08-18T07:07:33,0.7007064868336544,0.6608022519352569,0.8290273556231003,0.6067853170189099,0.6772832501247303,0.8364849833147943,0.906,0.22900155724663565,1015882,1798,2,48.4,final,"{""num_leaves"": 128, ""learning_rate"": 0.03443, ""reg_lambda"": 44.8638, ""reg_alpha"": 2.5893, ""scale_pos_weight"": 2.612, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1, ""device"": ""local-i5-13420H"", ""encoder"": null, ""emb_seed"": null, ""n_feature"": 90, ""train_rows"": 2535504}"
baseline_xgb,val,2026-08-18T07:08:00,0.6339181286549708,0.6090739589807334,0.8630573248407644,0.5009242144177449,0.6076136500448124,0.8123844731977818,0.603,0.2774450480937958,1015602,1082,2,26.2,final,"{""max_depth"": 13, ""learning_rate"": 0.0435, ""reg_lambda"": 0.02, ""scale_pos_weight"": 4.415, ""colsample_bytree"": 0.663, ""subsample"": 0.785, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1, ""device"": ""local-i5-13420H"", ""encoder"": null, ""emb_seed"": null, ""n_feature"": 90, ""train_rows"": 2535504}"
baseline_xgb,test,2026-08-18T07:08:01,0.7032533683864607,0.6788346788346789,0.8594377510040161,0.5951056729699666,0.6905660375739118,0.8526140155728588,0.93,0.2774450480937958,1015882,1798,2,26.2,final,"{""max_depth"": 13, ""learning_rate"": 0.0435, ""reg_lambda"": 0.02, ""scale_pos_weight"": 4.415, ""colsample_bytree"": 0.663, ""subsample"": 0.785, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1, ""device"": ""local-i5-13420H"", ""encoder"": null, ""emb_seed"": null, ""n_feature"": 90, ""train_rows"": 2535504}"
