cfg_id,seed,num_leaves,learning_rate,f1_val,pr_auc,n_tree,fit_s,params
5,2,256,0.0032,0.5463071512309496,0.44442546555601586,112,5.2,"{""num_leaves"": 256, ""learning_rate"": 0.0032, ""n_estimators"": 1000, ""reg_lambda"": 1.0, ""reg_alpha"": 1.8, ""scale_pos_weight"": 835.4312267657992, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
6,0,2048,0.1,0.07418502202643172,0.03151740010018735,60,8.7,"{""num_leaves"": 2048, ""learning_rate"": 0.1, ""n_estimators"": 1000, ""reg_lambda"": 1.0, ""reg_alpha"": 1.8, ""scale_pos_weight"": 835.4312267657992, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
6,1,2048,0.1,0.05212091056101505,0.021291531229180823,51,8.1,"{""num_leaves"": 2048, ""learning_rate"": 0.1, ""n_estimators"": 1000, ""reg_lambda"": 1.0, ""reg_alpha"": 1.8, ""scale_pos_weight"": 835.4312267657992, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
6,2,2048,0.1,0.0675762017514188,0.02969310827903774,20,5.3,"{""num_leaves"": 2048, ""learning_rate"": 0.1, ""n_estimators"": 1000, ""reg_lambda"": 1.0, ""reg_alpha"": 1.8, ""scale_pos_weight"": 835.4312267657992, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
7,0,2048,0.018,0.5693950177935944,0.4621423498146492,37,7.5,"{""num_leaves"": 2048, ""learning_rate"": 0.018, ""n_estimators"": 1000, ""reg_lambda"": 1.0, ""reg_alpha"": 1.8, ""scale_pos_weight"": 835.4312267657992, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
7,1,2048,0.018,0.5661721068249258,0.47748654624563647,34,6.6,"{""num_leaves"": 2048, ""learning_rate"": 0.018, ""n_estimators"": 1000, ""reg_lambda"": 1.0, ""reg_alpha"": 1.8, ""scale_pos_weight"": 835.4312267657992, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
7,2,2048,0.018,0.6150121065375302,0.5715966050724209,898,56.5,"{""num_leaves"": 2048, ""learning_rate"": 0.018, ""n_estimators"": 1000, ""reg_lambda"": 1.0, ""reg_alpha"": 1.8, ""scale_pos_weight"": 835.4312267657992, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
8,0,2048,0.0032,0.5441340782122905,0.3858988115775462,74,4.1,"{""num_leaves"": 2048, ""learning_rate"": 0.0032, ""n_estimators"": 1000, ""reg_lambda"": 1.0, ""reg_alpha"": 1.8, ""scale_pos_weight"": 835.4312267657992, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
8,1,2048,0.0032,0.5388724035608309,0.4276023255140312,34,2.7,"{""num_leaves"": 2048, ""learning_rate"": 0.0032, ""n_estimators"": 1000, ""reg_lambda"": 1.0, ""reg_alpha"": 1.8, ""scale_pos_weight"": 835.4312267657992, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
8,2,2048,0.0032,0.5463071512309496,0.44442546555601586,112,5.2,"{""num_leaves"": 2048, ""learning_rate"": 0.0032, ""n_estimators"": 1000, ""reg_lambda"": 1.0, ""reg_alpha"": 1.8, ""scale_pos_weight"": 835.4312267657992, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
